collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Cryptovoxels Parcel,277.0380867514869,0.4199,0.301001,1.660911,5,2022-09-30,406.5465659532188,567.137328592784,2243.3070435112395
Somnium Space Land,204.66499789,0.8,0.8,0.8,1,2022-09-30,1080.518844663556,1080.518844663556,1080.518844663556
NFT Worlds,2980.152622120839,0.75,0.6,2.62,4,2022-09-30,810.389133497667,1012.9864168720836,3538.6992162731462
Decentraland LAND,698.03154421499,1.755,1.755,1.755,1,2022-09-30,2371.2860793232403,2371.2860793232403,2371.2860793232403
Sandbox's LANDs,5903.1111953676755,2.38,1.2,53.9774,32,2022-09-30,1620.778266995334,3214.5435628740797,72904.49735742829
Somnium Space Land,203.86499789,2.05,2.05,2.05,1,2022-09-29,2741.881697044488,2741.881697044488,2741.881697044488
Sandbox's LANDs,5849.133795367675,3.6,1.25,47.978,26,2022-09-29,1671.8790835637126,4815.011760663492,64170.73173697584
Cryptovoxels Parcel,275.3771757514869,1.25,0.499,1.749,2,2022-09-29,667.4141301586341,1671.8790835637126,2339.2932137223465
NFT Worlds,2977.5326221208393,2.0,0.78,22.9994,20,2022-09-29,1043.2525481437567,2675.00653370194,30761.7726356122
Decentraland LAND,696.27654421499,2.3,1.7,4.0,2,2022-09-29,2273.755553646649,3076.2575137572308,5350.01306740388
Sandbox's LANDs,5801.155795367676,1.95,1.35,55.489,35,2022-09-28,1806.7911384832016,2609.8094222535133,74264.4692468847
NFT Worlds,2954.533222120839,0.99,0.7500999999999999,7.1101,8,2022-09-28,1003.906691093518,1324.9801682210143,9515.900499058822
Cryptovoxels Parcel,273.6281757514869,0.46,0.4199,1.2999,3,2022-09-28,561.9789622585898,615.6473508905724,1739.7391117883806
Decentraland LAND,692.27654421499,2.0,1.3476152250000002,8.593615225,4,2022-09-28,1803.599441937071,2676.727612567706,11501.38358226987
Sandbox's LANDs,5745.666795367675,1.995,1.1101,39.6772,22,2022-09-27,1476.61959920396,2653.685344033781,52777.34542972287
Cryptovoxels Parcel,272.3282757514869,0.335001,0.3301,0.665101,2,2022-09-27,439.08848725090274,445.6076410710078,1000.0
NFT Worlds,2947.4231221208393,2.49,0.75,19.9198,19,2022-09-27,997.626069185632,3312.118549696298,26496.68236395193
Decentraland LAND,683.68292898999,1.743,1.251,4.694,2,2022-09-27,1664.0402834016338,2318.4829847874084,6243.809025009808
Sandbox's LANDs,5705.989595367675,3.269,0.005,58.33505402334656,170,2022-09-26,120.0,4360.097666204391,77805.60810801481
Decentraland LAND,678.98892898999,1.75,1.75,1.75,1,2022-09-26,2334.099393043036,2334.099393043036,2334.099393043036
NFT Worlds,2927.503322120839,1.59,0.6,28.0738,34,2022-09-26,800.2626490433266,2120.696019964816,37444.0225945209
Cryptovoxels Parcel,271.6631747514869,0.3194,0.3194,0.3194,1,2022-09-26,426.0064835073976,426.0064835073976,1000.0
NFT Worlds,2899.429522120839,1.49,0.599,7.874,11,2022-09-25,775.202844992743,1928.300899898476,10190.229050872886
Sandbox's LANDs,5647.654541344329,1.836,1.35,26.881,18,2022-09-25,1747.1182650086864,2376.0808404118134,34788.36006051741
Cryptovoxels Parcel,271.3437747514869,0.48,0.42,1.35,3,2022-09-25,543.547904669369,621.1976053364218,1747.1182650086864
Decentraland LAND,677.23892898999,1.85,1.85,1.85,1,2022-09-25,2394.1991039007926,2394.1991039007926,2394.1991039007926
Sandbox's LANDs,5620.773541344329,2.376,1.1101,47.7120999,28,2022-09-24,1461.8375162860743,3128.840589762825,62829.778951994456
Somnium Space Land,201.81499789,3.75,3.75,18.75,5,2022-09-24,4938.195375256984,4938.195375256984,24690.97687628492
NFT Worlds,2891.555522120839,1.49,0.5105,3.1815,4,2022-09-24,672.252997084984,1962.1096291021083,4189.564956368025
Decentraland LAND,675.38892898999,1.989,1.251,3.24,2,2022-09-24,1647.3819771857295,2619.2188270363044,4266.600804222035
Cryptovoxels Parcel,269.99377475148685,0.9,0.9,1.8,2,2022-09-23,1194.1117194743858,1194.1117194743858,2388.223438948772
Sandbox's LANDs,5573.061441444329,3.3,1.0695,165.736348,98,2022-09-23,1419.002759975395,4378.409638072748,200000.0
NFT Worlds,2888.374022120839,0.8,0.6,3.27,5,2022-09-23,796.0744796495906,1061.4326395327876,4338.605914090269
Somnium Space Land,183.06499789,6.5,6.5,6.5,1,2022-09-23,8624.140196203898,8624.140196203898,8624.140196203898
Decentraland LAND,672.14892898999,1.7,1.7,1.7,1,2022-09-23,2255.544359007173,2255.544359007173,2255.544359007173
NFT Worlds,2885.104022120839,1.3,0.49,8.5565,13,2022-09-22,650.7273267767741,1726.41943838736,11363.159941970343
Sandbox's LANDs,5407.325093444329,2.0,0.911,172.6586526,136,2022-09-22,1209.8216218237578,2656.0299052113232,200000.0
Decentraland LAND,670.44892898999,2.3,2.3,2.3,1,2022-09-22,3054.4343909930217,3054.4343909930217,3054.4343909930217
Cryptovoxels Parcel,268.1937747514869,0.98,0.401,1.7828,3,2022-09-22,532.5339959948703,1301.4546535535485,2367.585057505373
Cryptovoxels Parcel,266.4109747514869,0.405,0.3032,2.82675,5,2022-09-21,379.1132928722936,506.4013311783605,3534.493735576372
Somnium Space Land,176.56499789,3.45,1.59,5.04,2,2022-09-21,1988.0941149965263,4313.789117445293,6301.883232441819
Decentraland LAND,668.14892898999,1.9,1.25,10.105,4,2022-09-21,1562.9670715381496,2375.709948737988,12635.025806314405
Sandbox's LANDs,5234.6664408443285,2.699986957837301,0.98,28.2887359578373,21,2022-09-21,1225.3661840859093,3375.992566945731,35371.49023802953
NFT Worlds,2876.5475221208394,0.75,0.55,5.1011,8,2022-09-21,687.7055114767859,937.7802429228898,6378.281062898604
Decentraland LAND,658.04392898999,1.788,1.77,3.558,2,2022-09-20,2340.5396220678867,2364.3417199194246,4704.881341987311
Cryptovoxels Parcel,263.5842247514869,0.5,0.414,1.328,3,2022-09-20,547.4482505853701,661.1693847649398,1756.0658859356802
Sandbox's LANDs,5206.377704886491,5.5,1.0,50.16881,33,2022-09-20,1322.3387695298795,7272.863232414337,66340.16248417832
Somnium Space Land,171.52499789,1.0,1.0,1.0,1,2022-09-20,1322.3387695298795,1322.3387695298795,1322.3387695298795
NFT Worlds,2871.446422120839,0.715,0.69,2.115,3,2022-09-20,912.4137509756168,945.4722202138638,2796.7464975556954
Decentraland LAND,654.48592898999,2.0,2.0,2.0,1,2022-09-19,2757.428178042732,2757.428178042732,2757.428178042732
Cryptovoxels Parcel,262.25622475148685,0.5,0.3897,0.8897,2,2022-09-19,537.2848804916263,689.357044510683,1226.641925002309
Sandbox's LANDs,5156.208894886491,3.28,0.4,39.1307222,28,2022-09-19,551.4856356085464,4522.18221199008,53950.07801072114
NFT Worlds,2869.3314221208393,0.72,0.601,2.671,4,2022-09-19,828.6071675018409,992.6741440953834,3682.545331776068
Decentraland LAND,652.48592898999,1.8,1.75,3.55,2,2022-09-18,2332.806674957739,2399.4582942422458,4732.264969199984
Sandbox's LANDs,5117.078172686492,2.09,1.000001,65.6198998,52,2022-09-18,1333.033718722522,2786.037686092385,87473.4515791417
NFT Worlds,2866.660422120839,0.71,0.71,0.71,1,2022-09-18,946.4529938399968,946.4529938399968,1000.0
Cryptovoxels Parcel,261.3665247514869,0.45,0.3207,1.4142,4,2022-09-18,427.5034860908267,599.8645735605614,1885.1743998429904
Sandbox's LANDs,5051.458272886492,1.5,1.0,40.006999,35,2022-09-17,1470.07625001432,2205.11437502148,58813.339064246655
Cryptovoxels Parcel,259.95232475148686,0.79,0.42,3.255,6,2022-09-17,617.4320250060144,1161.360237511313,4785.098193796612
Somnium Space Land,170.52499789,1.5,1.5,1.5,1,2022-09-17,2205.11437502148,2205.11437502148,2205.11437502148
NFT Worlds,2865.950422120839,0.71,0.615,1.325,2,2022-09-17,904.0968937588068,1043.754137510167,1947.851031268974
Sandbox's LANDs,5011.451273886491,1.99,0.95,43.8729996,39,2022-09-16,1358.7503033864002,2846.2243197251964,62749.948965233074
Decentraland LAND,648.93592898999,1.7,1.59,3.29,2,2022-09-16,2274.11892882566,2431.4479113230323,4705.566840148692
Cryptovoxels Parcel,256.69732475148686,0.87,0.4,1.27,2,2022-09-16,572.105390899537,1244.329225206493,1816.43461610603
NFT Worlds,2864.625422120839,1.5,0.6,4.127,4,2022-09-16,858.1580863493054,2145.395215873264,5902.6973706059725
Cryptovoxels Parcel,255.42732475148688,0.5,0.4,1.32069,3,2022-09-15,588.4804315442242,735.6005394302802,1943.0005528403533
Decentraland LAND,645.64592898999,1.65,1.65,1.65,1,2022-09-15,2427.481780119924,2427.481780119924,2427.481780119924
NFT Worlds,2860.498422120839,1.47,0.675,3.645,4,2022-09-15,993.0607282308782,2162.665585925024,5362.527932446742
Sandbox's LANDs,4967.578274286491,3.0,0.4,50.8096899,39,2022-09-15,588.4804315442242,4413.603236581681,74751.27059745052
NFT Worlds,2856.8534221208392,1.5,0.58,12.38,13,2022-09-14,948.2362225749536,2452.335058383501,20239.938681858494
Sandbox's LANDs,4916.768584386491,2.06,0.95,23.6549999999,20,2022-09-14,1553.145536976217,3367.873480180008,38673.32387054432
Cryptovoxels Parcel,254.1066347514869,0.38,0.3569,0.7369,2,2022-09-14,583.492254891381,621.2582147904868,1204.7504696818678
Decentraland LAND,643.99592898999,1.59,1.49999,7.58999,5,2022-09-14,2452.3187094831114,2599.4751618865107,12408.799046520126
NFT Worlds,2844.473422120839,1.25,0.55,3.6899,4,2022-09-13,865.1381193928871,1966.2229986201976,5804.132994086935
Sandbox's LANDs,4893.113584386592,2.55,0.939,38.851999,32,2022-09-13,1477.0267165634923,4011.094917185204,61113.35518093514
Cryptovoxels Parcel,253.36973475148687,0.45,0.4,0.85,2,2022-09-13,629.1913595584633,707.8402795032713,1337.0316390617345
Decentraland LAND,636.40593898999,1.499999,1.15,3.949999,3,2022-09-13,1808.9251587305816,2359.4660253658385,6213.263102661426
NFT Worlds,2840.7835221208393,0.75,0.6,2.0,3,2022-09-12,1027.3379880319142,1284.1724850398928,3424.459960106381
Sandbox's LANDs,4854.261585386592,4.0,0.09499999,30.38595531,24,2022-09-12,162.66183098275332,6848.919920212762,52027.74365433844
Somnium Space Land,169.02499789,1.25,1.25,1.25,1,2022-09-12,2140.287475066488,2140.287475066488,2140.287475066488
Cryptovoxels Parcel,252.51973475148688,0.4,0.3,1.839,5,2022-09-12,513.6689940159571,684.8919920212762,3148.790933317817
Decentraland LAND,632.45593998999,1.15,1.15,1.15,1,2022-09-12,1969.0644770611689,1969.0644770611689,1969.0644770611689
Decentraland LAND,631.30593998999,2.175,1.5,5.225,3,2022-09-11,2643.454643784592,3833.009233487658,9208.03367584966
Cryptovoxels Parcel,250.68073475148688,0.3875,0.349,0.7365,2,2022-09-11,615.0437804538817,682.892449644353,1297.9362300982348
NFT Worlds,2838.7835221208393,1.389999,0.5202,3.909199,4,2022-09-11,916.7500704644964,2449.5995409372927,6889.193500018722
Sandbox's LANDs,4823.875630076592,2.14,0.94,24.456988889999,21,2022-09-11,1656.564910105011,3771.328625132685,43100.62723617069
Decentraland LAND,626.08093998999,1.72,1.15,4.32,3,2022-09-10,2046.1849219480544,3060.3809267396987,7686.538141578779
NFT Worlds,2834.874323120839,0.7,0.5201,4.859,7,2022-09-10,925.4093720914636,1245.5038655335984,8645.57611803965
Sandbox's LANDs,4799.418641186592,1.55,0.669799864,28.318799564,23,2022-09-10,1191.769028208398,2757.901416538682,50387.39189176168
Cryptovoxels Parcel,249.94423475148687,0.69,0.3875,1.4814,3,2022-09-10,689.4753541346705,1227.7109531688327,2635.8420377163898
NFT Worlds,2830.015323120839,0.8,0.5131,4.1221,6,2022-09-09,880.92731737432,1373.4980586619686,7077.120434513125
Decentraland LAND,621.76093998999,1.52,1.52,1.52,1,2022-09-09,2609.64631145774,2609.64631145774,2609.64631145774
Sandbox's LANDs,4771.099841622592,1.95,0.4,38.6848995,33,2022-09-09,686.7490293309843,3347.901517988548,66417.04295347919
Somnium Space Land,167.77499789,2.0,2.0,2.0,1,2022-09-09,3433.745146654921,3433.745146654921,3433.745146654921
Cryptovoxels Parcel,248.46283475148687,0.4185,0.2616999999999999,1.0702,3,2022-09-08,427.20326303409456,683.1660893380537,1747.0115861638833
NFT Worlds,2825.893223120839,1.25,0.602,5.401,6,2022-09-08,982.7144224169851,2040.5199801017136,8816.678730023485
Decentraland LAND,620.24093998999,1.9,1.6,3.5,2,2022-09-08,2611.865574530193,3101.5903697546046,5713.455944284799
Sandbox's LANDs,4732.414942122592,1.499,0.6476,31.6955996,26,2022-09-08,1057.1525912910956,2446.9915601379757,51740.40341208311
Somnium Space Land,165.77499789,1.1,1.1,1.1,1,2022-09-08,1795.657582489508,1795.657582489508,1795.657582489508
Decentraland LAND,616.74093998999,2.7,1.5,7.4299,4,2022-09-07,2441.6754163550395,4395.015749439071,12094.269450650872
Sandbox's LANDs,4700.719342522592,1.722222222222222,0.4,57.282189,45,2022-09-07,651.1134443613439,2803.405107666897,93243.00845086871
NFT Worlds,2820.4922231208393,1.25,0.72,7.584,9,2022-09-07,1172.004199850419,2034.7295136292,12345.110905091078
Cryptovoxels Parcel,247.39263475148687,0.4498,0.3267,2.4252,6,2022-09-07,531.7969056821275,732.1770681843311,3947.700813162828
Sandbox's LANDs,4643.437153522592,1.65,0.94,38.44,36,2022-09-06,1468.2554514253136,2577.256909416774,60042.27611998835
NFT Worlds,2812.908223120839,0.85,0.076,3.0573,4,2022-09-06,120.0,1327.6778018207624,4775.422757066608
Cryptovoxels Parcel,244.96743475148688,1.0,1.0,1.0,1,2022-09-06,1561.9738844950143,1561.9738844950143,1561.9738844950143
Decentraland LAND,609.31103998999,1.27,1.27,1.27,1,2022-09-06,1983.7068333086688,1983.7068333086688,1983.7068333086688
Somnium Space Land,164.67499789,0.3,0.3,0.3,1,2022-09-05,485.8608320164342,485.8608320164342,1000.0
NFT Worlds,2809.850923120839,1.0,0.633,2.403,3,2022-09-05,1025.166355554676,1619.5361067214474,3891.745264451638
Sandbox's LANDs,4604.997153522592,1.8888888888888888,0.9,74.4109999,61,2022-09-05,1457.5824960493026,3059.123757140512,120511.301075296
Cryptovoxels Parcel,243.96743475148688,0.315,0.315,0.63,2,2022-09-05,510.1538736172559,510.1538736172559,1020.3077472345118
Decentraland LAND,608.04103998999,1.75,0.0066666666666666,4.95,18,2022-09-05,120.0,2834.188186762533,8016.703728271164
Cryptovoxels Parcel,243.33743475148688,0.6,0.4632233796296296,1.5622233796296296,3,2022-09-04,729.8430886766074,945.3448864262684,2461.399805647389
Sandbox's LANDs,4530.586153622592,1.39,0.4,74.212,74,2022-09-04,630.229924284179,2190.0489868875216,116926.55785244372
Decentraland LAND,603.09103998999,1.6,1.5,3.1,2,2022-09-04,2363.362216065671,2520.919697136716,4884.281913202387
NFT Worlds,2807.4479231208393,0.75,0.7,2.95,4,2022-09-04,1102.902367497313,1181.6811080328357,4647.94569159582
Cryptovoxels Parcel,241.77521137185724,1.5,0.41,3.27956,4,2022-09-03,637.5498006767225,2332.499270768497,5099.714205627688
Sandbox's LANDs,4456.374153622592,19.98,0.83,83.9149889,49,2022-09-03,1290.6495964919018,31068.890286636382,130487.76694386436
Decentraland LAND,599.99103998999,1.979,1.849,3.828,2,2022-09-03,2875.1941011006343,3077.3440379005706,5952.538139001204
NFT Worlds,2804.497923120839,1.9,0.795,6.445,6,2022-09-03,1236.2246135073035,2954.499076306763,10021.97186673531
Sandbox's LANDs,4372.459164722592,5.55,0.9,71.885,67,2022-09-02,1419.2711634366829,8752.172174526211,113360.3417596066
Cryptovoxels Parcel,238.49565137185724,1.69,0.33,3.62,5,2022-09-02,520.3994265934504,2665.075851342216,5708.624012934213
Decentraland LAND,596.16303998999,2.1,2.0,4.1,2,2022-09-02,3153.935918748184,3311.6327146855933,6465.568633433777
NFT Worlds,2798.0529231208393,0.9,0.691,11.7471,15,2022-09-02,1089.6848599274974,1419.2711634366829,18524.8003155634
NFT Worlds,2786.3058231208392,1.35,0.5573,1.9073,2,2022-09-01,883.9503787343615,2141.275814267698,3025.226193002059
Cryptovoxels Parcel,234.87565137185723,0.31,0.31,0.31,1,2022-09-01,491.7003721651751,491.7003721651751,1000.0
Somnium Space Land,164.37499789,23.0,8.0,33.0,2,2022-09-01,10000.0,36480.9953541904,52342.29768209928
Decentraland LAND,592.06303998999,10.0,1.5,19.26,4,2022-09-01,2379.195349186331,15861.302327908872,30548.86828355249
Sandbox's LANDs,4300.574164722592,1.485,0.094,81.26625,77,2022-09-01,149.0962418823434,2355.403395694468,128898.85603054245
Cryptovoxels Parcel,234.56565137185723,1.57,0.3,3.27,4,2022-08-31,465.1768773669297,2434.4256582202656,5070.427963299534
NFT Worlds,2784.3985231208394,1.25,0.63,6.2315,8,2022-08-31,976.8714424705526,1938.236989028874,9662.499037706742
Decentraland LAND,572.80303998999,2.25,1.75,9.778,5,2022-08-31,2713.531784640424,3488.826580251973,15161.665022979463
Sandbox's LANDs,4219.307914722592,4.44,0.9,99.9941,83,2022-08-31,1395.5306321007893,6884.617785030561,155049.81064372172
NFT Worlds,2778.167023120839,0.95,0.6221,3.1571,4,2022-08-30,947.0219322142368,1446.1836290042197,4806.048773820234
Cryptovoxels Parcel,231.29565137185725,0.3499,0.3499,0.3499,1,2022-08-30,532.6522650406068,532.6522650406068,1000.0
Somnium Space Land,131.37499789,3.3,3.3,3.3,1,2022-08-30,5023.585237593606,5023.585237593606,5023.585237593606
Decentraland LAND,563.02503998999,1.899,1.15,3.049,2,2022-08-30,1750.643340373529,2890.844959451593,4641.488299825122
Sandbox's LANDs,4119.313814722592,1.88,1.2,10.987,8,2022-08-30,1826.7582682158568,2861.9212868715085,16725.494244073016
Sandbox's LANDs,4108.326814722592,5.99,0.924,20.75050001,11,2022-08-29,1436.8520385962931,9314.657696095015,32267.747014351626
Cryptovoxels Parcel,230.94575137185723,1.0,0.75,2.57,3,2022-08-29,1166.276005354134,1555.034673805512,3996.4391116801658
NFT Worlds,2775.009923120839,1.2,0.6967,5.3667,6,2022-08-29,1083.3926572403002,1866.0416085666145,8345.40458391204
Decentraland LAND,559.97603998999,2.5,1.35,5.77,3,2022-08-29,2099.2968096374416,3887.58668451378,8972.550067857805
Sandbox's LANDs,4087.576314712592,2.0,1.1089,26.01649375,17,2022-08-28,1586.9148185742645,2862.1423366836766,37231.45410697063
Decentraland LAND,554.20603998999,1.85,1.6,10.378,6,2022-08-28,2289.713869346941,2647.481661432401,14851.656585051598
NFT Worlds,2769.643223120839,1.4,0.84,7.54,7,2022-08-28,1202.099781407144,2003.4996356785732,10790.276609297462
NFT Worlds,2762.103223120839,1.08,0.6126,12.2714,13,2022-08-27,915.1858412792316,1613.4520218438952,18332.699204495533
Cryptovoxels Parcel,228.37575137185723,0.97,0.65,3.22,4,2022-08-27,971.0590872208628,1449.11894554498,4810.477324386428
Decentraland LAND,543.82803998999,1.749,1.749,1.749,1,2022-08-27,2612.8959131527527,2612.8959131527527,2612.8959131527527
Sandbox's LANDs,4061.559820962592,1.88,1.24,35.2589998,21,2022-08-27,1852.4819510059535,2808.601667654188,52674.72640324397
Sandbox's LANDs,4026.300821162592,1.8,0.8,26.621,20,2022-08-26,1203.3569976117406,2707.5532446264165,40043.20829177768
NFT Worlds,2749.831823120839,0.9875,0.568,14.983399,20,2022-08-26,854.3834683043357,1485.3937939269922,22537.972543323445
Cryptovoxels Parcel,225.15575137185724,0.6,0.3,1.964159,5,2022-08-26,451.2588741044027,902.5177482088054,2954.4805963400986
Decentraland LAND,542.07903998999,2.5,1.15,4.95384,3,2022-08-26,1729.8256840668769,3760.490617536689,7451.54753631118
NFT Worlds,2734.8484241208394,1.3,0.619,6.6379,9,2022-08-25,1048.2184868728625,2201.4281630609385,11240.66154121708
Sandbox's LANDs,3999.679821162592,1.81,1.3,17.43994,12,2022-08-25,2201.4281630609385,3065.065365492537,29532.90390622537
Decentraland LAND,537.12519998999,1.93,1.93,1.93,1,2022-08-25,3268.2741190058546,3268.2741190058546,3268.2741190058546
Decentraland LAND,535.19519998999,1.944,1.15,7.04404999999,4,2022-08-24,1907.887673153195,3225.1596840085317,11686.309707874509
Sandbox's LANDs,3982.239881162592,2.2097777777777776,1.25,87.41,47,2022-08-24,2073.79094907956,3666.093724026159,145016.05348723545
NFT Worlds,2728.210524120839,1.44,0.4883,17.2953,25,2022-08-24,810.1056963484393,2389.007173339653,28693.46928129257
Somnium Space Land,128.07499789,1.2,1.2,2.4,2,2022-08-24,1990.8393111163773,1990.8393111163773,3981.6786222327546
Cryptovoxels Parcel,223.19159237185724,1.36,0.3999,2.1899,3,2022-08-24,663.4472004295328,2256.2845525985613,3633.115839511463
Sandbox's LANDs,3894.829881162592,1.89,1.19,32.5115,24,2022-08-23,1981.1653417357415,3146.5567192273547,54126.60252759796
Decentraland LAND,528.15114999,1.65,1.65,1.65,1,2022-08-23,2746.99396123023,2746.99396123023,2746.99396123023
NFT Worlds,2710.9152241208394,0.94,0.4362,10.2121,16,2022-08-23,726.2053126597737,1564.9541354887372,17001.561837260142
Cryptovoxels Parcel,221.00169237185725,0.6,0.266,4.946,12,2022-08-23,442.8487234468129,998.906894992811,8234.322504390739
NFT Worlds,2700.703124120839,0.65,0.55,7.185,12,2022-08-22,892.8373743783945,1055.1714424471936,11663.702790743208
Decentraland LAND,526.50114999,1.99,1.5,6.72,4,2022-08-22,2435.011021031985,3230.4479545691,10908.849374223291
Sandbox's LANDs,3862.318381162592,1.75,1.0501,44.1780998,33,2022-08-22,1704.6700487904584,2840.8461912039825,71716.10660083395
Somnium Space Land,125.67499789,4.2,0.65,7.85,3,2022-08-22,1055.1714424471936,6818.030858889559,12743.22434340072
Cryptovoxels Parcel,216.05569237185725,1.5,0.24,2.759,4,2022-08-22,389.6017633651176,2435.011021031985,4478.796938018164
Sandbox's LANDs,3818.140281362592,2.24,1.0,21.621,15,2022-08-21,1621.251541897395,3631.603453850165,35053.07958736358
Decentraland LAND,519.78114999,2.2,1.55,7.64,4,2022-08-21,2512.9398899409625,3566.7533921742697,12386.361780096098
NFT Worlds,2693.5181241208393,0.62,0.4701,5.1813,7,2022-08-21,762.1503498459655,1005.1759559763848,8400.190614032974
Cryptovoxels Parcel,213.29669237185723,2.99,0.4,3.8516,3,2022-08-21,648.5006167589581,4847.542110273212,6244.412438772007
NFT Worlds,2688.336824120839,0.88,0.6188,4.3028,6,2022-08-20,974.6176293832956,1386.0108498017132,6776.96305059865
Sandbox's LANDs,3796.519281362592,1.88,1.2,23.6849988,17,2022-08-20,1890.0147951841543,2961.0231791218416,37304.16512993245
Cryptovoxels Parcel,209.44509237185724,2.0,0.32,5.02,6,2022-08-20,504.0039453824412,3150.0246586402573,7906.561893187045
Decentraland LAND,512.14114999,1.6,1.5,3.1,2,2022-08-20,2362.518493980193,2520.019726912206,4882.538220892399
Sandbox's LANDs,3772.834282562592,2.333333333333333,1.16,183.590299,97,2022-08-19,1865.490577556617,3752.423575544919,200000.0
Decentraland LAND,509.04114999,1.85,1.85,1.85,1,2022-08-19,2975.135834896329,2975.135834896329,2975.135834896329
Cryptovoxels Parcel,204.42509237185723,0.42,0.2556,1.455,3,2022-08-19,411.0511996754063,675.4362435980854,2339.904129607653
NFT Worlds,2684.034024120839,1.1,0.5101,11.0965,15,2022-08-19,820.3333996651986,1768.9996856140335,17845.18637401466
Sandbox's LANDs,3589.2439835625923,2.7,1.21,29.70499,18,2022-08-18,2237.532009512013,4992.840021225154,54930.46774151591
Decentraland LAND,507.19114999,3.6,1.9,12.4,4,2022-08-18,3513.480014936219,6657.1200283002045,22930.080097478483
NFT Worlds,2672.937524120839,1.0,0.506,14.7741,20,2022-08-18,935.695203977751,1849.200007861168,27320.265836141683
Cryptovoxels Parcel,202.97009237185725,1.2,0.34,1.92,3,2022-08-18,628.7280026727972,2219.0400094334013,3550.4640150934424
Decentraland LAND,494.79114999,1.698,1.4,3.098,2,2022-08-17,2565.3082048711467,3111.352379908005,5676.660584779152
Somnium Space Land,117.82499789,3.49999999,3.49999999,3.49999999,1,2022-08-17,6413.2704938542365,6413.2704938542365,6413.2704938542365
Sandbox's LANDs,3559.5389935625926,1.8,1.1302,43.68424999,33,2022-08-17,2070.936666532408,3298.253406262903,80045.40351642093
NFT Worlds,2658.1634241208394,1.0,0.62,6.964,9,2022-08-17,1136.0650621572222,1832.3630034793905,12760.575956230476
Cryptovoxels Parcel,201.05009237185723,0.5,0.3,1.428,4,2022-08-17,549.7089010438171,916.1815017396952,2616.6143689685696
Somnium Space Land,114.3249979,1.5,1.5,3.0,2,2022-08-16,2812.6194196892184,2812.6194196892184,5625.238839378437
Cryptovoxels Parcel,199.62209237185724,2.95,0.314,3.264,2,2022-08-16,588.7749985216097,5531.48485872213,6120.259857243739
